iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.000000,91.990000,0.000000,0.000000,0.000000,0.000000,91.990000,0.000000,3.629000,0.000000,0.000000,95.619000
2,0,0.000000,101.476000,0.000000,2.070000,0.000000,0.587000,104.133000,0.000000,0.528000,0.000000,0.000000,104.661000
3,0,0.000000,88.579000,0.000000,0.000000,0.000000,0.000000,88.579000,0.000000,2.517000,0.000000,0.000000,91.096000
4,0,0.000000,75.333000,0.000000,1.686000,0.000000,0.519000,77.538000,0.000000,0.000000,0.000000,0.000000,77.538000
5,0,0.000000,73.521000,0.000000,0.000000,0.000000,1.523000,75.044000,0.000000,1.517000,0.000000,0.000000,76.561000
6,0,0.000000,72.289000,0.000000,0.000000,0.000000,0.000000,72.289000,0.000000,3.018000,0.000000,0.000000,75.307000
7,0,0.000000,78.640000,0.000000,0.000000,0.000000,0.000000,78.640000,0.000000,2.537000,0.000000,0.000000,81.177000
8,0,0.000000,85.775000,0.000000,0.539000,0.000000,0.585000,86.899000,0.000000,2.058000,0.000000,0.000000,88.957000
9,0,0.000000,72.272000,0.000000,0.000000,0.000000,0.000000,72.272000,0.000000,1.524000,0.000000,0.000000,73.796000
10,0,0.000000,73.645000,0.000000,0.605000,0.000000,0.520000,74.770000,0.000000,0.000000,0.000000,0.000000,74.770000
11,0,0.000000,71.873000,0.000000,0.000000,0.000000,0.000000,71.873000,0.000000,0.000000,0.000000,0.000000,71.873000
12,0,0.000000,70.449000,0.000000,2.020000,0.000000,0.523000,72.992000,0.000000,2.199000,0.000000,0.000000,75.191000
13,0,0.000000,75.928000,0.000000,4.062000,0.000000,0.562000,80.552000,0.000000,0.000000,0.000000,0.000000,80.552000
14,0,0.000000,82.364000,0.000000,1.015000,0.000000,1.002000,84.381000,0.000000,1.510000,0.000000,0.000000,85.891000
15,0,0.000000,79.210000,0.000000,0.522000,0.000000,0.520000,80.252000,0.000000,0.516000,0.000000,0.000000,80.768000
16,0,0.000000,70.137000,0.000000,0.000000,0.000000,0.000000,70.137000,0.000000,2.025000,0.000000,0.000000,72.162000
17,0,0.000000,82.483000,0.000000,0.348000,0.000000,0.000000,82.831000,0.000000,0.000000,0.000000,0.000000,82.831000
18,0,0.000000,69.820000,0.000000,0.000000,0.000000,1.027000,70.847000,0.000000,2.522000,0.000000,0.000000,73.369000
19,0,0.000000,66.925000,2.033000,0.000000,0.000000,0.000000,68.958000,0.000000,1.031000,0.000000,0.000000,69.989000
20,0,0.000000,68.786000,0.000000,0.000000,0.694000,0.000000,69.480000,0.000000,1.905000,0.000000,0.000000,71.385000
21,0,0.000000,88.600000,0.916000,0.330000,0.510000,0.000000,90.356000,0.000000,0.000000,0.000000,0.000000,90.356000
22,0,0.000000,92.708000,0.000000,0.582000,0.000000,0.416000,93.706000,0.000000,0.826000,0.000000,0.000000,94.532000
23,0,0.000000,42.138000,0.000000,0.000000,0.000000,1.523000,43.661000,0.000000,0.000000,0.000000,0.000000,43.661000
24,0,0.000000,38.149000,0.000000,0.000000,0.000000,0.000000,38.149000,0.000000,4.774000,0.000000,0.000000,42.923000
25,0,0.000000,39.676000,0.000000,0.631000,0.000000,0.000000,40.307000,0.000000,0.536000,0.000000,0.000000,40.843000
26,0,0.000000,40.125000,0.000000,0.000000,0.000000,0.000000,40.125000,0.000000,0.000000,0.000000,0.000000,40.125000
