metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2131,0.000000,0.000000,0.000000,0.000000
ants_advance,2131,2077.231000,0.974768,0.000000,9.664000
mpi_pheromone_sync,2131,3389.365000,1.590504,0.000000,10.172000
evaporation,2131,347.770000,0.163196,0.000000,7.102000
mpi_evaporation_sync,2131,3042.961000,1.427950,0.000000,9.991000
update,2131,1129.351000,0.529963,0.000000,8.656000
advance_total,2131,9986.678000,4.686381,0.000000,14.915000
mpi_food_sync,2131,36.962000,0.017345,0.000000,4.128000
mpi_gather,2131,97.148000,0.045588,0.000000,5.036000
render,2131,0.000000,0.000000,0.000000,0.000000
blit,2131,0.000000,0.000000,0.000000,0.000000
iteration_total,2131,10123.961000,4.750803,0.000000,14.915000

meta_key,meta_value
total_iterations,2131
measured_iterations,2131
final_food_quantity,1
first_food_iteration,2121
