iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.000000,14.976175,3.898586,0.020493,18.895254,0.000000,0.000000,19.151378,0.045959,14.073854,3.758593,0.000000,17.877571
2,0,0.000000,1.037691,0.148303,0.004218,1.167440,0.000000,0.000000,1.299375,0.040378,0.391926,0.002845,0.000000,0.431495
3,0,0.000000,1.052638,0.161019,0.004864,1.212681,0.000000,0.000000,1.320990,0.030916,0.135878,0.002475,0.000000,0.165617
4,0,0.000000,0.860919,0.076916,0.003032,0.937539,0.000000,0.000000,1.011222,0.032349,0.256289,0.001053,0.000000,0.284960
5,0,0.000000,0.439140,0.068460,0.003061,0.508611,0.000000,0.000000,0.560921,0.015995,0.010976,0.001580,0.000000,0.027397
6,0,0.000000,0.416292,0.074975,0.003132,0.491550,0.000000,0.000000,0.524856,0.011905,0.040727,0.003046,0.000000,0.053293
7,0,0.000000,0.426047,0.062301,0.003198,0.486039,0.000000,0.000000,0.540490,0.013484,0.056458,0.001617,0.000000,0.070650
8,0,0.000000,0.365233,0.063901,0.003128,0.429522,0.000000,0.000000,0.466681,0.010580,0.014611,0.000447,0.000000,0.025541
9,0,0.000000,0.379886,0.069721,0.003142,0.441740,0.000000,0.000000,0.494384,0.008755,0.034943,0.001323,0.000000,0.044055
10,0,0.000000,0.366728,0.065738,0.003201,0.431337,0.000000,0.000000,0.454374,0.010438,0.045356,0.000496,0.000000,0.056290
11,0,0.000000,0.363264,0.063656,0.003152,0.429848,0.000000,0.000000,0.453526,0.008846,0.006780,0.004884,0.000000,0.020148
12,0,0.000000,0.422122,0.076760,0.003329,0.501223,0.000000,0.000000,0.555880,0.010706,0.060422,0.001188,0.000000,0.071926
13,0,0.000000,0.389001,0.062217,0.003079,0.451109,0.000000,0.000000,0.477839,0.011446,0.023446,0.003641,0.000000,0.035272
14,0,0.000000,0.410232,0.064057,0.002685,0.476950,0.000000,0.000000,0.522109,0.009398,0.057271,0.001405,0.000000,0.067337
15,0,0.000000,0.416724,0.064286,0.003055,0.478880,0.000000,0.000000,0.539712,0.009761,0.064739,0.001345,0.000000,0.075165
16,0,0.000000,0.453843,0.068151,0.002819,0.524803,0.000000,0.000000,0.584548,0.012678,0.100936,0.001095,0.000000,0.114080
17,0,0.000000,0.394403,0.073171,0.003257,0.469365,0.000000,0.000000,0.506789,0.010746,0.009776,0.001350,0.000000,0.020909
18,0,0.000000,0.437576,0.072483,0.003304,0.513363,0.000000,0.000000,0.546844,0.010320,0.049522,0.000801,0.000000,0.060599
19,0,0.000000,0.400029,0.070837,0.003178,0.469003,0.000000,0.000000,0.529976,0.011413,0.019837,0.001661,0.000000,0.031844
20,0,0.000000,0.495084,0.077681,0.003130,0.575895,0.000000,0.000000,0.607698,0.011333,0.058243,0.000597,0.000000,0.070080
21,0,0.000000,0.420928,0.082331,0.003017,0.481400,0.000000,0.000000,0.531544,0.011070,0.055199,0.008387,0.000000,0.068247
22,0,0.000000,0.382549,0.067618,0.002865,0.453032,0.000000,0.000000,0.510524,0.009818,0.022070,0.001351,0.000000,0.033239
23,0,0.000000,0.407855,0.066363,0.002864,0.470616,0.000000,0.000000,0.495744,0.009738,0.057110,0.000960,0.000000,0.067309
24,0,0.000000,0.428136,0.065545,0.002950,0.496631,0.000000,0.000000,0.534840,0.008416,0.081543,0.001248,0.000000,0.090326
25,0,0.000000,0.379059,0.066750,0.003033,0.448842,0.000000,0.000000,0.472806,0.010701,0.063137,0.003663,0.000000,0.077267
26,0,0.000000,0.367137,0.065337,0.003252,0.435726,0.000000,0.000000,0.457759,0.009660,0.017569,0.000558,0.000000,0.027787
27,0,0.000000,0.415055,0.073872,0.002977,0.486889,0.000000,0.000000,0.517221,0.009089,0.065736,0.005695,0.000000,0.075890
28,0,0.000000,0.728032,0.149260,0.003544,0.880836,0.000000,0.000000,0.916703,0.011892,0.132513,0.042620,0.000000,0.187025
29,0,0.000000,0.697023,0.142135,0.003646,0.842804,0.000000,0.000000,0.879547,0.018239,0.156666,0.044183,0.000000,0.219083
30,0,0.000000,0.800542,0.173066,0.003497,0.977105,0.000000,0.000000,1.016402,0.015199,0.197070,0.069039,0.000000,0.281308
31,0,0.000000,0.819502,0.178479,0.003804,1.001785,0.000000,0.000000,1.064690,0.020337,0.048563,0.003584,0.000000,0.072484
32,0,0.000000,0.692711,0.098778,0.003112,0.793374,0.000000,0.000000,0.831147,0.017258,0.039872,0.000600,0.000000,0.057217
33,0,0.000000,0.574442,0.090145,0.002965,0.666572,0.000000,0.000000,0.853555,0.097378,0.229683,0.001865,0.000000,0.327684
34,0,0.000000,0.776623,0.125810,0.003558,0.905984,0.000000,0.000000,0.949640,0.013717,0.403259,0.001282,0.000000,0.417284
35,0,0.000000,0.978043,0.175066,0.002909,1.044581,0.000000,0.000000,1.208995,0.026668,0.618970,0.074502,0.000000,0.644417
36,0,0.000000,0.821670,0.165505,0.003284,0.990071,0.000000,0.000000,1.019467,0.016459,0.283052,0.098108,0.000000,0.397619
37,0,0.000000,0.809279,0.185885,0.003205,0.998027,0.000000,0.000000,1.034354,0.010959,0.370771,0.117850,0.000000,0.499580
