metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,14,0.000000,0.000000,0.000000,0.000000
ants_advance,14,17.587414,1.256244,1.167539,1.609806
evaporation,14,0.891134,0.063652,0.044681,0.075268
update,14,0.017613,0.001258,0.000814,0.001562
advance_total,14,18.447049,1.317646,1.213034,1.666305
render,14,0.000000,0.000000,0.000000,0.000000
blit,14,0.000000,0.000000,0.000000,0.000000
iteration_total,14,20.907985,1.493427,1.421607,1.789686
mpi_halo_exchange,14,1.361962,0.097283,0.090739,0.115287
mpi_migration,14,5.492583,0.392327,0.238226,0.554969
mpi_food_allreduce,14,0.310368,0.022169,0.014018,0.050697
mpi_render_comm,14,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,14,6.987126,0.499080,0.360202,0.653834

meta_key,meta_value
total_iterations,16
measured_iterations,14
final_food_quantity,0
first_food_iteration,not_reached
