iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.000000,2.869001,0.059068,0.003494,2.911096,0.000000,0.000000,3.052876,0.018414,2.411036,0.024771,0.000000,2.450430
2,0,0.000000,0.267427,0.063109,0.003164,0.321081,0.000000,0.000000,0.392318,0.018468,0.096497,0.014300,0.000000,0.127717
3,0,0.000000,0.268402,0.054374,0.003063,0.310894,0.000000,0.000000,0.391748,0.030606,0.123432,0.014701,0.000000,0.141781
4,0,0.000000,0.270942,0.059470,0.003150,0.328676,0.000000,0.000000,0.362502,0.014069,0.110614,0.008797,0.000000,0.130588
5,0,0.000000,0.261575,0.058076,0.003121,0.322772,0.000000,0.000000,0.360648,0.013519,0.123723,0.002045,0.000000,0.136281
6,0,0.000000,0.262366,0.059346,0.003434,0.323441,0.000000,0.000000,0.354176,0.013158,0.120994,0.004959,0.000000,0.136682
7,0,0.000000,0.257658,0.059440,0.003083,0.317885,0.000000,0.000000,0.350740,0.012900,0.120988,0.002646,0.000000,0.132068
8,0,0.000000,0.271768,0.056974,0.003213,0.328665,0.000000,0.000000,0.364690,0.016626,0.114834,0.003740,0.000000,0.133238
9,0,0.000000,0.257591,0.605449,0.003289,0.801238,0.000000,0.000000,0.901533,0.013544,0.124803,0.568445,0.000000,0.591504
10,0,0.000000,0.274402,0.040135,0.003803,0.317449,0.000000,0.000000,0.353866,0.013918,0.108915,0.004814,0.000000,0.125482
11,0,0.000000,0.257109,0.041860,0.003600,0.301050,0.000000,0.000000,0.330320,0.014548,0.118907,0.001688,0.000000,0.131665
12,0,0.000000,0.772781,0.062221,0.003140,0.837314,0.000000,0.000000,0.873965,0.012828,0.608907,0.010923,0.000000,0.629742
13,0,0.000000,0.267300,0.076745,0.002681,0.330956,0.000000,0.000000,0.436153,0.015953,0.164952,0.035734,0.000000,0.212950
