iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.030193,0.583823,0.056815,0.001291,0.637843,24.011726,15.953877,47.112179,1.351734,1.327781,0.002423,5.156791,5.708967
2,0,0.025183,0.694746,0.066668,0.001562,0.762976,8.848089,14.688905,30.213545,0.273719,0.425301,0.002255,5.506174,5.796196
3,0,0.018432,0.495409,0.040650,0.000868,0.535247,9.086138,15.692132,31.710751,0.185350,0.352352,0.002954,6.127019,6.583085
4,0,0.021548,0.534718,0.047387,0.000992,0.583097,9.543134,15.653927,31.185598,0.193813,0.381675,0.002160,5.147094,5.348772
5,0,0.026460,0.818722,0.090825,0.002098,0.903448,8.135953,15.820087,31.088758,0.324035,0.567676,0.001774,5.842380,6.244392
6,0,0.019691,0.489379,0.107646,0.006360,0.536298,9.832736,15.606497,31.153812,0.171930,0.387664,0.002246,4.821296,5.320943
7,0,0.021192,0.664691,0.091020,0.001526,0.757237,7.293573,15.620644,30.956492,0.260027,0.486666,0.002892,6.936118,7.218222
8,0,0.018302,0.565015,0.045305,0.000920,0.611240,9.423009,16.846174,32.228218,0.200967,0.355507,0.001856,5.104486,5.629764
9,0,0.024811,0.786755,0.123675,0.006211,0.882899,9.917656,15.613076,30.971681,0.211211,0.623630,0.002046,4.319831,5.048190
10,0,0.021084,0.443206,0.052999,0.000791,0.496996,9.684505,15.629157,30.756304,0.228917,0.283824,0.002861,4.672291,5.071836
11,0,0.019279,0.657077,0.060579,0.001250,0.718906,10.297429,15.441751,31.267704,0.179817,0.485850,0.002403,4.615238,5.206389
12,0,0.022205,0.800862,0.075798,0.001591,0.853676,9.032113,15.791779,31.175756,0.252557,1.482312,0.002979,4.331668,6.030740
13,0,0.017997,0.526057,0.062683,0.023273,0.589792,10.089606,15.705446,31.311871,0.213607,0.348147,0.001992,4.679140,5.091405
14,0,0.028072,0.576115,0.057193,0.001197,0.634505,9.122994,15.802973,31.961997,0.282833,0.423913,0.002219,6.054749,6.335681
15,0,0.021872,0.811344,0.053093,0.001109,0.846518,5.177265,16.688973,31.309180,0.227238,0.649789,0.002609,8.285510,8.752761
16,0,0.020602,0.658584,0.052844,0.001393,0.712821,9.474161,15.772142,30.688377,0.196895,0.524594,0.002407,4.490752,5.114477
17,0,0.023352,0.702780,0.065664,0.001197,0.769641,6.724274,15.713465,31.209837,0.231067,0.472275,0.073080,7.651751,8.047767
18,0,0.037271,0.334787,0.025910,0.000700,0.357869,10.169028,15.561783,31.643140,0.179652,0.114891,0.002228,5.366000,5.577974
19,0,0.018489,0.593045,0.074085,0.001508,0.650571,10.063637,15.525878,30.752430,0.191188,0.320371,0.002206,4.329389,4.782436
20,0,0.023317,0.488317,0.046102,0.001141,0.535321,10.145712,15.786151,31.307575,0.184406,0.281915,0.002760,4.618124,4.936547
21,0,0.019249,0.661271,0.048162,0.001018,0.710283,10.601160,15.570187,31.727216,0.220862,0.539682,0.002142,4.517123,5.187040
22,0,0.021774,0.300846,0.025637,0.000662,0.323912,10.291741,15.766866,30.961941,0.139457,0.100331,0.001778,4.414944,4.565926
23,0,0.019447,0.488807,0.045327,0.001339,0.535473,8.764729,15.624996,30.950016,0.190687,0.300319,0.002003,5.780140,5.992816
24,0,0.020350,0.639915,0.061939,0.001058,0.702912,10.090125,15.599061,31.391150,0.245532,0.410262,0.001894,4.687511,4.939754
25,0,0.018818,0.645477,0.047511,0.000952,0.693940,11.166848,14.835358,31.152581,0.186583,0.495528,0.001599,4.242235,4.845722
26,0,0.017514,0.540866,0.056840,0.000802,0.598508,10.918166,15.568162,31.685594,0.175771,0.370659,0.001475,4.414567,4.894384
27,0,0.018110,0.495039,0.047628,0.000772,0.543439,10.866743,15.556452,31.603045,0.198240,0.363762,0.001546,4.403035,4.893130
28,0,0.018400,0.583218,0.057291,0.000974,0.630836,9.733804,16.463836,31.437521,0.223621,0.352295,0.001762,4.367674,4.924275
29,0,0.017915,0.468905,0.053892,0.000631,0.523428,11.034473,15.482733,31.816978,0.188184,0.307502,0.001200,4.571813,4.996231
30,0,0.023257,0.777756,0.087478,0.002753,0.867987,6.726459,15.341390,31.172774,0.243400,0.584847,0.002727,7.985509,8.460530
31,0,0.016582,0.311041,0.025787,0.000657,0.335424,10.213514,15.346325,30.974142,0.118436,0.089754,0.002713,4.921528,5.097862
32,0,0.017766,0.423338,0.055750,0.000850,0.479938,10.770250,15.747691,31.766188,0.183859,0.271555,0.002383,4.561078,4.946541
33,0,0.018954,0.569757,0.041830,0.001075,0.612112,10.233782,15.731483,31.458093,0.246697,0.337939,0.002816,4.594282,5.106309
34,0,0.016738,0.301937,0.026240,0.000737,0.328305,9.894204,15.804982,30.383713,0.132241,0.068314,0.001909,4.198616,4.391059
35,0,0.021054,0.652579,0.073182,0.001468,0.689335,5.914987,16.741398,31.350745,0.252524,0.393752,0.001778,7.697321,8.006703
36,0,0.018541,0.705383,0.049637,0.000960,0.755980,9.321228,15.607012,30.469600,0.213728,0.508313,0.002162,4.540383,5.081165
37,0,0.016513,0.526884,0.052199,0.001001,0.580084,10.008028,16.032568,31.804656,0.184787,0.440973,0.003445,4.925942,5.457492
