metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,18.372750,0.025660,0.007172,1.958406
ants_advance,716,12218.926012,17.065539,6.076453,51.532212
evaporation,716,4367.399604,6.099720,0.229450,28.198403
update,716,19.826708,0.027691,0.002664,1.638821
advance_total,716,14048.426098,19.620707,6.119310,59.567045
render,716,32020.895937,44.721922,19.522719,111.248988
blit,716,6187.403616,8.641625,0.614997,16.895542
iteration_total,716,66785.232042,93.275464,59.727230,235.541129
mpi_halo_exchange,716,589.144406,0.822827,0.118703,20.391871
mpi_migration,716,10490.849332,14.652024,2.134191,72.351089
mpi_food_allreduce,716,2.816764,0.003934,0.001636,0.185528
mpi_render_comm,716,12433.292050,17.364933,7.794424,80.446840
mpi_total_comm,716,21048.907012,29.397915,9.877374,114.072952

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,20
first_food_iteration,706
