metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,849,17.970412,0.021167,0.007350,2.978369
ants_advance,849,1135.131014,1.337021,0.820166,1.943213
evaporation,849,41.942802,0.049403,0.026178,0.212217
update,849,1.105404,0.001302,0.000527,0.015856
advance_total,849,1171.792402,1.380203,0.845866,1.980730
render,849,18333.741446,21.594513,4.358156,87.685979
blit,849,8952.817879,10.545133,0.536445,16.960543
iteration_total,849,34091.173524,40.154504,16.482960,109.568238
mpi_halo_exchange,849,150.950380,0.177798,0.118204,3.065973
mpi_migration,849,825.639124,0.972484,0.338033,3.168936
mpi_food_allreduce,849,2.014569,0.002373,0.000875,0.172560
mpi_render_comm,849,5422.414738,6.386825,4.145047,14.872416
mpi_total_comm,849,6040.209135,7.114498,4.903244,15.304657

meta_key,meta_value
total_iterations,849
measured_iterations,849
final_food_quantity,1
first_food_iteration,839
