iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.000000,1.095159,0.177964,0.002986,1.276109,0.000000,0.000000,1.383539,0.075330,0.126520,0.002609,0.000000,0.202648
2,0,0.000000,0.978468,0.110120,0.002781,1.091369,0.000000,0.000000,1.132590,0.021415,0.153697,0.002293,0.000000,0.175432
3,0,0.000000,0.849465,0.150103,0.002517,1.002085,0.000000,0.000000,1.064649,0.018757,0.181938,0.001091,0.000000,0.201350
4,0,0.000000,0.727425,0.099726,0.002295,0.829446,0.000000,0.000000,0.854839,0.015144,0.247615,0.001452,0.000000,0.263349
5,0,0.000000,0.800817,0.153167,0.002297,0.956281,0.000000,0.000000,0.989026,0.012718,0.308411,0.001619,0.000000,0.322050
6,0,0.000000,0.719082,0.137723,0.002337,0.859142,0.000000,0.000000,0.901076,0.020518,0.157635,0.002019,0.000000,0.178461
7,0,0.000000,0.797338,0.153341,0.002324,0.953003,0.000000,0.000000,1.126615,0.076884,0.195769,0.001809,0.000000,0.271417
8,0,0.000000,0.663868,0.089972,0.002083,0.754911,0.000000,0.000000,0.784275,0.013095,0.140386,0.001517,0.000000,0.154135
9,0,0.000000,0.589201,0.142013,0.002250,0.733464,0.000000,0.000000,0.861220,0.013856,0.149614,0.001056,0.000000,0.164112
10,0,0.000000,1.361446,0.123572,0.002927,1.487945,0.000000,0.000000,1.563137,0.013709,0.835330,0.002597,0.000000,0.848650
11,0,0.000000,2.259651,0.228002,0.003320,2.490973,0.000000,0.000000,2.546992,0.025990,1.754104,0.002103,0.000000,1.778683
12,0,0.000000,1.253998,0.119590,0.002979,1.376567,0.000000,0.000000,1.448750,0.047899,0.644287,0.001602,0.000000,0.691996
13,0,0.000000,1.653611,0.215662,0.003221,1.872494,0.000000,0.000000,1.914806,0.019723,1.104008,0.002386,0.000000,1.123275
14,0,0.000000,1.247001,0.280491,0.003316,1.530808,0.000000,0.000000,1.583900,0.023150,0.699914,0.003299,0.000000,0.721015
15,0,0.000000,1.146328,0.220650,0.003293,1.370271,0.000000,0.000000,1.472278,0.026604,0.521419,0.002462,0.000000,0.546954
16,0,0.000000,1.044118,0.132145,0.003263,1.179526,0.000000,0.000000,1.237506,0.019336,0.522748,0.000701,0.000000,0.540242
17,0,0.000000,1.076588,0.226880,0.003096,1.306564,0.000000,0.000000,1.360431,0.021314,0.529865,0.001795,0.000000,0.548809
18,0,0.000000,1.151961,0.120206,0.003091,1.275258,0.000000,0.000000,1.313095,0.019246,0.666109,0.001257,0.000000,0.683308
19,0,0.000000,1.005393,0.203933,0.006039,1.212462,0.000000,0.000000,1.351475,0.019744,0.566002,0.007174,0.000000,0.589769
20,0,0.000000,0.799959,0.110872,0.003250,0.911044,0.000000,0.000000,0.975199,0.026415,0.162177,0.010512,0.000000,0.191461
21,0,0.000000,0.776964,0.178236,0.002585,0.957785,0.000000,0.000000,0.994939,0.021900,0.222694,0.001362,0.000000,0.245067
22,0,0.000000,0.666623,0.094162,0.002718,0.759337,0.000000,0.000000,0.824905,0.019759,0.020478,0.001413,0.000000,0.034508
23,0,0.000000,0.685213,0.176001,0.002763,0.863977,0.000000,0.000000,0.894781,0.041431,0.199273,0.001671,0.000000,0.242375
24,0,0.000000,0.675238,0.091399,0.002483,0.769120,0.000000,0.000000,0.812096,0.017695,0.181317,0.000876,0.000000,0.199745
25,0,0.000000,0.701761,0.194019,0.002445,0.898225,0.000000,0.000000,0.930007,0.016960,0.119921,0.002152,0.000000,0.137211
26,0,0.000000,0.699212,0.094193,0.002579,0.795984,0.000000,0.000000,0.825765,0.015101,0.220176,0.000885,0.000000,0.235880
27,0,0.000000,0.594156,0.156851,0.002427,0.753434,0.000000,0.000000,0.786652,0.016089,0.205446,0.000756,0.000000,0.222058
28,0,0.000000,0.610465,0.077066,0.002387,0.689918,0.000000,0.000000,0.712973,0.010596,0.216980,0.000820,0.000000,0.227907
29,0,0.000000,0.577451,0.158154,0.002536,0.738141,0.000000,0.000000,0.765354,0.014214,0.210821,0.000681,0.000000,0.224991
30,0,0.000000,0.632818,0.117781,0.002349,0.752948,0.000000,0.000000,0.777418,0.010461,0.202360,0.000937,0.000000,0.213059
31,0,0.000000,0.543317,0.174771,0.002393,0.720481,0.000000,0.000000,0.744383,0.013226,0.180693,0.000656,0.000000,0.193753
32,0,0.000000,0.524585,0.122842,0.002257,0.649684,0.000000,0.000000,0.664723,0.008791,0.168896,0.000477,0.000000,0.177509
33,0,0.000000,0.528237,0.144985,0.002280,0.675502,0.000000,0.000000,0.697618,0.008858,0.132781,0.000743,0.000000,0.142382
34,0,0.000000,0.529940,0.092853,0.002331,0.625124,0.000000,0.000000,0.643936,0.010756,0.172573,0.000785,0.000000,0.183454
35,0,0.000000,0.561738,0.178510,0.002218,0.742466,0.000000,0.000000,0.768389,0.009426,0.201423,0.008180,0.000000,0.218532
36,0,0.000000,0.701444,0.077408,0.002521,0.781373,0.000000,0.000000,0.807355,0.011692,0.303682,0.000994,0.000000,0.316342
37,0,0.000000,0.603226,0.153846,0.002579,0.759651,0.000000,0.000000,0.798102,0.014092,0.132706,0.000912,0.000000,0.147160
38,0,0.000000,0.603765,0.073848,0.002315,0.679928,0.000000,0.000000,0.708855,0.015176,0.206987,0.001059,0.000000,0.222208
39,0,0.000000,0.570944,0.146452,0.002228,0.719624,0.000000,0.000000,0.746138,0.010689,0.175298,0.000845,0.000000,0.186832
40,0,0.000000,0.553475,0.094762,0.002416,0.650653,0.000000,0.000000,0.694984,0.011580,0.150648,0.003366,0.000000,0.162772
41,0,0.000000,0.569550,0.171320,0.002130,0.743000,0.000000,0.000000,0.790849,0.010941,0.156609,0.002044,0.000000,0.168020
42,0,0.000000,0.562387,0.079619,0.002173,0.634610,0.000000,0.000000,0.673585,0.012051,0.166352,0.010843,0.000000,0.179411
43,0,0.000000,0.654463,0.153599,0.002938,0.749541,0.000000,0.000000,0.841285,0.016727,0.134797,0.001800,0.000000,0.153131
44,0,0.000000,1.237465,0.156572,0.002873,1.396910,0.000000,0.000000,1.441603,0.016357,0.515790,0.004395,0.000000,0.533760
45,0,0.000000,1.308199,0.255502,0.006575,1.570276,0.000000,0.000000,1.678148,0.056049,0.361404,0.007784,0.000000,0.419210
46,0,0.000000,1.623671,0.130691,0.002835,1.757197,0.000000,0.000000,1.848108,0.042170,1.122354,0.002971,0.000000,1.160568
47,0,0.000000,0.693290,0.174090,0.005064,0.872444,0.000000,0.000000,1.013346,0.022999,0.195938,0.021416,0.000000,0.219435
48,0,0.000000,0.671627,0.075801,0.002115,0.749543,0.000000,0.000000,0.808686,0.016038,0.208201,0.000772,0.000000,0.223933
49,0,0.000000,0.570411,0.132155,0.002279,0.704845,0.000000,0.000000,0.731237,0.012886,0.163601,0.001019,0.000000,0.176789
50,0,0.000000,0.570266,0.072886,0.002139,0.636475,0.000000,0.000000,0.671358,0.010859,0.175858,0.009590,0.000000,0.188612
51,0,0.000000,0.558878,0.137945,0.002215,0.699038,0.000000,0.000000,0.725397,0.012326,0.170955,0.000901,0.000000,0.183531
52,0,0.000000,0.540719,0.073179,0.002210,0.616108,0.000000,0.000000,0.639013,0.011828,0.143482,0.000803,0.000000,0.155830
53,0,0.000000,0.557425,0.332582,0.002343,0.892350,0.000000,0.000000,0.924058,0.011726,0.056892,0.004038,0.000000,0.069303
54,0,0.000000,0.556048,0.115829,0.007388,0.679265,0.000000,0.000000,0.720081,0.023000,0.091254,0.004760,0.000000,0.114919
55,0,0.000000,0.538927,0.140872,0.002163,0.681962,0.000000,0.000000,0.712129,0.015967,0.043551,0.003707,0.000000,0.062573
56,0,0.000000,0.525833,0.086324,0.002166,0.613967,0.000000,0.000000,0.641332,0.011597,0.016047,0.009802,0.000000,0.037174
57,0,0.000000,0.529534,0.138160,0.002146,0.667648,0.000000,0.000000,0.694174,0.013970,0.007103,0.003016,0.000000,0.020997
58,0,0.000000,0.544377,0.116887,0.002384,0.663552,0.000000,0.000000,0.699997,0.013483,0.019895,0.014876,0.000000,0.048254
59,0,0.000000,0.564402,0.138937,0.002095,0.681207,0.000000,0.000000,0.748922,0.015409,0.045677,0.000973,0.000000,0.061334
60,0,0.000000,0.540393,0.081514,0.002241,0.616517,0.000000,0.000000,0.659952,0.010623,0.032779,0.007462,0.000000,0.043832
61,0,0.000000,0.573806,0.133247,0.002141,0.654982,0.000000,0.000000,0.735776,0.011328,0.083913,0.000957,0.000000,0.095743
62,0,0.000000,0.513904,0.087480,0.002012,0.597009,0.000000,0.000000,0.628801,0.012094,0.048114,0.001999,0.000000,0.061640
63,0,0.000000,0.493466,0.137570,0.002822,0.605874,0.000000,0.000000,0.658292,0.010870,0.034792,0.002108,0.000000,0.047528
64,0,0.000000,0.568790,0.098145,0.002389,0.668807,0.000000,0.000000,0.711862,0.015114,0.093243,0.009361,0.000000,0.117718
65,0,0.000000,0.670831,0.148984,0.002203,0.761548,0.000000,0.000000,0.857090,0.019580,0.156244,0.001184,0.000000,0.176233
66,0,0.000000,0.543964,0.103058,0.002020,0.649042,0.000000,0.000000,0.680165,0.014250,0.057350,0.027263,0.000000,0.098076
67,0,0.000000,1.130946,0.233402,0.003417,1.367765,0.000000,0.000000,1.426892,0.012669,0.559859,0.003453,0.000000,0.573597
68,0,0.000000,1.640821,0.100417,0.002649,1.743706,0.000000,0.000000,1.821006,0.043257,0.859118,0.001253,0.000000,0.902524
69,0,0.000000,0.666744,0.211053,0.002427,0.847821,0.000000,0.000000,0.945023,0.025949,0.061400,0.002762,0.000000,0.089643
70,0,0.000000,0.646663,0.101174,0.002153,0.739766,0.000000,0.000000,0.785699,0.015709,0.066082,0.002786,0.000000,0.084577
71,0,0.000000,1.526203,0.278574,0.006220,1.718978,0.000000,0.000000,1.890065,0.016715,0.899103,0.003551,0.000000,0.919093
72,0,0.000000,1.394003,0.140779,0.003367,1.527285,0.000000,0.000000,1.626944,0.046989,0.133633,0.002107,0.000000,0.182729
73,0,0.000000,0.926681,0.159567,0.002502,1.088750,0.000000,0.000000,1.136267,0.031620,0.395403,0.001243,0.000000,0.427736
74,0,0.000000,0.790109,0.107999,0.002522,0.900630,0.000000,0.000000,0.936331,0.016625,0.333629,0.001217,0.000000,0.350453
75,0,0.000000,0.725892,0.148319,0.002217,0.876428,0.000000,0.000000,0.922720,0.028556,0.334390,0.000839,0.000000,0.361875
