metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,0.000000,0.000000,0.000000,0.000000
ants_advance,2572,2228.895767,0.866600,0.413078,5.931703
evaporation,2572,388.509480,0.151053,0.059117,2.023995
update,2572,7.958179,0.003094,0.001804,0.186663
advance_total,2572,2606.328302,1.013347,0.498044,6.265555
render,2572,0.000000,0.000000,0.000000,0.000000
blit,2572,0.000000,0.000000,0.000000,0.000000
iteration_total,2572,2753.938241,1.070738,0.517623,6.443528
mpi_halo_exchange,2572,56.823755,0.022093,0.007546,0.614761
mpi_migration,2572,750.362323,0.291743,0.007103,4.766057
mpi_food_allreduce,2572,27.754186,0.010791,0.000444,1.368030
mpi_render_comm,2572,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,2572,824.803224,0.320686,0.017875,4.987578

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
