iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,2.978369,0.979162,0.037071,0.000894,1.016979,29.400794,15.687911,57.376012,3.065973,3.168936,0.001869,8.171719,8.495871
2,0,0.020961,1.624830,0.078979,0.003157,1.668424,5.952426,13.978778,30.859086,0.175208,1.415393,0.002273,8.867093,10.302515
3,0,0.020202,1.720131,0.053196,0.001906,1.772109,5.989148,15.177346,31.716689,0.183629,1.358700,0.002076,8.437614,9.372090
4,0,0.018548,1.676703,0.060638,0.001474,1.731466,7.483476,16.725537,31.378276,0.166981,1.358813,0.001928,5.197666,6.635499
5,0,0.023896,1.532019,0.069895,0.001066,1.595695,7.984426,10.108391,30.214000,0.202371,1.227366,0.002915,10.206136,10.576527
6,0,0.021676,1.818611,0.072265,0.001788,1.875584,6.059912,15.703549,31.767674,0.228298,1.414740,0.001773,7.727640,8.484960
7,0,0.022622,1.642249,0.065838,0.001585,1.703361,4.358156,16.008852,31.304476,0.164183,1.353587,0.002592,8.941527,9.603669
8,0,0.022894,1.344719,0.047773,0.001368,1.388855,4.546547,16.336565,30.706537,0.209103,0.922108,0.002747,8.096890,8.342980
9,0,0.027761,1.685062,0.057682,0.001507,1.731936,7.826141,16.479000,31.482740,0.274002,1.340793,0.002391,5.126105,6.637150
10,0,0.019301,1.631963,0.061896,0.001623,1.686332,7.839772,15.728864,30.461042,0.213651,1.309106,0.001673,4.925566,6.396799
11,0,0.019107,1.718891,0.044520,0.001055,1.760972,8.724294,15.864628,31.456764,0.179253,1.297651,0.001425,4.871689,6.326292
12,0,0.019494,1.579453,0.057818,0.001360,1.629053,8.008765,15.680841,31.291404,0.209258,1.150034,0.002024,5.608981,6.674943
13,0,0.018333,1.286399,0.043285,0.000885,1.324453,8.334584,15.506471,30.640107,0.164447,0.975832,0.002174,5.262741,6.306542
14,0,0.020173,1.755084,0.056680,0.001924,1.802934,8.524248,15.682674,31.248996,0.217142,1.419564,0.001842,4.927689,6.526722
15,0,0.020290,1.754652,0.052365,0.001546,1.808563,8.451313,15.718269,31.300575,0.204016,1.436402,0.002046,5.052343,6.596086
