metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1056,0.000000,0.000000,0.000000,0.000000
ants_advance,1056,1003.116021,0.949920,0.593309,3.087152
evaporation,1056,78.504776,0.074342,0.018351,0.213526
update,1056,1.352546,0.001281,0.000550,0.028694
advance_total,1056,1069.588027,1.012867,0.635198,3.111561
render,1056,0.000000,0.000000,0.000000,0.000000
blit,1056,0.000000,0.000000,0.000000,0.000000
iteration_total,1056,1176.976249,1.114561,0.705450,4.221227
mpi_halo_exchange,1056,12.432200,0.011773,0.006095,0.194456
mpi_migration,1056,713.099524,0.675284,0.258329,3.474307
mpi_food_allreduce,1056,71.066920,0.067298,0.004820,1.244387
mpi_render_comm,1056,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,1056,782.754141,0.741244,0.282151,3.491617

meta_key,meta_value
total_iterations,1056
measured_iterations,1056
final_food_quantity,1
first_food_iteration,1046
