iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.846122,0.556576,0.060925,0.001295,0.618538,26.444755,16.812170,54.773204,0.187201,0.354507,0.001658,53.895671,54.037537
2,0,0.023986,0.591167,0.104079,0.002113,0.673849,9.514434,15.648323,30.066382,0.049182,0.471701,0.000943,29.181312,29.319889
3,0,0.030213,0.635632,0.109130,0.002171,0.719530,10.308330,15.594587,30.391514,0.050806,0.464109,0.001404,29.520846,29.630284
4,0,0.031049,0.762453,0.092624,0.001922,0.856528,10.921253,15.705440,30.718225,0.093435,0.499658,0.000803,29.757670,30.203427
5,0,0.022573,0.628554,0.181356,0.002601,0.812128,9.019953,15.710704,29.166651,0.051151,0.348305,0.001235,28.331193,28.618361
6,0,0.021614,0.556279,0.071637,0.002152,0.624559,10.640928,15.598246,30.861914,0.055073,0.423305,0.001270,30.073071,30.255836
7,0,0.021133,2.221816,0.066735,0.510909,2.793910,8.449608,15.525654,29.957796,0.125220,2.266670,0.001237,27.157882,27.873061
8,0,0.024525,0.657636,0.122960,0.003338,0.746506,11.146827,15.663422,30.772586,0.106318,0.463106,0.001060,29.829336,30.350799
9,0,0.020241,0.625807,0.095552,0.002969,0.720888,11.000822,15.750806,30.725077,0.063368,0.494571,0.000901,29.819186,29.947434
10,0,0.026231,0.726411,0.087804,0.001695,0.815054,10.650598,15.994801,30.499751,0.066521,0.474812,0.000722,29.545004,29.657009
11,0,0.022035,0.616126,0.072465,0.002019,0.669307,10.011437,15.587889,29.866357,0.048213,0.475398,0.001572,29.010569,29.093581
12,0,0.023779,0.539793,0.063399,0.002466,0.602387,11.965528,15.743785,30.912972,0.076501,0.381514,0.001146,30.185565,30.626500
13,0,0.018064,1.016025,0.157847,0.001669,1.067894,10.473010,15.583218,30.495792,0.080288,0.891921,0.001086,29.181117,29.595563
14,0,0.025326,0.586221,0.071486,0.002435,0.658763,9.727252,15.724582,30.119706,0.058547,0.449585,0.001016,29.285832,29.433103
15,0,0.026849,0.682379,0.073006,0.002303,0.736290,10.782831,15.888023,30.686386,0.064274,0.602773,0.000985,29.533238,29.726164
16,0,0.021303,0.628382,0.066142,0.002315,0.695612,10.857120,15.588046,30.078585,0.053859,0.492681,0.001117,29.234074,29.353336
17,0,0.019648,0.705507,0.143034,0.024648,0.757093,10.050343,15.755205,31.109860,0.230708,1.013904,0.001516,29.071551,29.592807
18,0,0.028263,0.621744,0.099533,0.002024,0.723239,10.543247,15.662480,30.379642,0.121424,0.456021,0.001447,29.413941,29.547911
19,0,0.022508,0.553518,0.074673,0.001599,0.611897,10.168864,15.721253,29.870138,0.055412,0.357939,0.001914,29.125523,29.208083
20,0,0.034379,0.538921,0.092515,0.002086,0.609864,10.785888,15.580881,30.706766,0.054876,0.291764,0.000982,29.851853,29.970765
21,0,0.026106,0.668151,0.157055,0.001938,0.779894,10.971587,15.748874,30.359551,0.090738,0.468673,0.001558,29.432791,29.883565
22,0,0.030323,0.813977,0.109056,0.002268,0.918410,11.505712,15.531748,30.847369,0.078128,0.568146,0.000862,29.770811,30.188162
23,0,0.021210,0.650671,0.076254,0.002266,0.724695,10.582547,15.521821,30.319105,0.048311,0.457742,0.001145,29.479331,29.583303
24,0,0.021479,0.624826,0.069527,0.001554,0.695422,10.893112,15.652166,30.848330,0.301542,0.589994,0.001057,29.826845,30.103582
25,0,0.026252,0.624679,0.101997,0.002481,0.729157,10.932506,14.720506,29.654752,0.059406,0.388801,0.001498,28.813508,28.907296
26,0,0.014992,0.561725,0.097170,0.002022,0.630276,12.074908,15.676029,31.079186,0.057925,0.342979,0.001387,30.316499,30.419470
27,0,0.023353,0.521028,0.063525,0.023583,0.601655,12.064298,15.576690,31.276445,0.051587,0.350306,0.001180,30.562952,30.814945
28,0,0.018854,0.660440,0.111478,0.003021,0.732658,11.211801,15.653933,30.390002,0.063694,0.474576,0.000996,29.477877,29.789987
