metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,62.591813,0.024336,0.008308,1.452088
ants_advance,2572,1580.472541,0.614492,0.334373,4.031934
evaporation,2572,244.784202,0.095173,0.049849,0.817505
update,2572,7.368191,0.002865,0.000986,0.125238
advance_total,2572,1793.342813,0.697256,0.389812,4.089372
render,2572,34381.279138,13.367527,3.407823,43.876229
blit,2572,34013.385971,13.224489,0.369885,16.942833
iteration_total,2572,79045.512517,30.733092,14.924087,75.979830
mpi_halo_exchange,2572,296.441241,0.115257,0.025497,13.124592
mpi_migration,2572,1331.793730,0.517805,0.154286,30.758246
mpi_food_allreduce,2572,4.534674,0.001763,0.000440,0.183326
mpi_render_comm,2572,76638.434646,29.797214,13.629570,67.048306
mpi_total_comm,2572,77637.368695,30.185602,13.918541,67.507709

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
