iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.384960,3.100363,0.478526,0.005724,3.584613,24.629213,16.979878,46.579670
2,0,0.030300,2.293480,0.373972,0.003509,2.670961,11.809556,16.605609,31.117044
3,0,0.019781,2.531505,0.411540,0.004771,2.947816,11.826345,15.650163,30.444673
4,0,0.021612,1.698437,0.314354,0.002803,2.015594,14.289618,15.588766,31.916243
5,0,0.019707,1.737025,0.582968,0.003321,2.323314,13.274320,15.663126,31.280980
6,0,0.048120,1.633346,0.372640,0.002566,2.008552,12.659242,16.587194,31.303753
7,0,0.020741,2.500818,0.367310,0.004305,2.872433,11.821104,15.664350,30.379286
8,0,0.023986,1.929135,0.398541,0.005319,2.332995,13.583266,15.709056,31.649930
9,0,0.024285,2.737748,0.483460,0.004636,3.225844,12.342283,15.653494,31.246509
10,0,0.021803,2.631355,0.514312,0.032514,3.178181,12.714937,15.711043,31.626477
11,0,0.023558,2.600086,0.382993,0.005542,2.988621,12.031685,15.766200,30.810596
12,0,0.022113,1.850541,0.442632,0.003633,2.296806,12.672097,15.743992,30.735759
13,0,0.029197,2.257413,0.393692,0.003548,2.654653,12.882417,16.560398,32.127287
14,0,0.027735,1.853611,0.335585,0.003491,2.192687,12.660406,15.795561,30.677746
15,0,0.022380,1.844775,0.364405,0.004130,2.213310,13.405747,14.709290,30.351306
16,0,0.018185,2.200094,0.326894,0.002795,2.529783,13.295616,15.577121,31.421371
17,0,0.023132,1.703024,0.464158,0.002923,2.170105,13.396418,15.646234,31.236426
18,0,0.022381,1.812427,0.328775,0.002905,2.144107,13.442064,15.682511,31.291577
19,0,0.021188,1.604473,0.337503,0.002672,1.944648,13.389495,15.631459,30.987281
20,0,0.020013,1.582621,0.338954,0.002489,1.924064,13.309164,15.605863,30.859699
21,0,0.020165,1.994736,0.340470,0.002807,2.338013,13.189179,15.634707,31.182580
22,0,0.021564,1.812699,0.376574,0.002761,2.192034,13.449595,15.993436,31.657133
23,0,0.021952,1.774579,0.310543,0.002649,2.087771,13.481560,15.573252,31.165115
24,0,0.022591,1.830484,0.372856,0.002921,2.206261,13.450397,15.722789,31.402555
25,0,0.020339,1.626011,0.337196,0.002898,1.966105,13.362900,15.659651,31.009507
26,0,0.021989,1.664154,0.318722,0.002887,1.985763,13.449316,15.763675,31.221338
27,0,0.026306,1.969996,0.323439,0.002825,2.296260,13.446975,15.686208,31.456282
