metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,3564,81.170053,0.022775,0.007248,1.384960
ants_advance,3564,5815.587828,1.631759,1.122253,6.595785
evaporation,3564,1286.797283,0.361054,0.288041,1.033225
update,3564,12.805848,0.003593,0.002362,0.065212
advance_total,3564,7115.190959,1.996406,1.436511,6.973958
render,3564,55018.128210,15.437185,2.676128,45.637560
blit,3564,48595.597745,13.635128,0.504071,17.103659
iteration_total,3564,110812.176457,31.092081,15.731422,63.194347

meta_key,meta_value
total_iterations,3564
measured_iterations,3564
final_food_quantity,238
first_food_iteration,2585
