iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.865121,1.730004,0.305160,0.003091,2.038255,29.544611,15.588242,48.036971
2,0,0.022334,1.630555,0.354686,0.002877,1.988118,13.893404,15.571412,31.475644
3,0,0.021682,1.725444,0.348338,0.005171,2.078953,12.706901,15.680716,30.488718
4,0,0.019590,1.533838,0.359737,0.003300,1.896875,13.563773,15.638396,31.119100
5,0,0.020938,1.734375,0.342849,0.003146,2.080370,13.121915,15.604414,30.828162
6,0,0.020601,1.644566,0.335178,0.003152,1.982896,13.383962,15.605591,30.993472
7,0,0.022913,1.979089,0.286656,0.002338,2.268083,13.195734,14.764061,30.251329
8,0,0.026296,2.526278,0.385068,0.004009,2.915355,12.657264,15.637432,31.236859
9,0,0.019911,1.774657,0.352818,0.003615,2.131090,13.670775,14.666379,30.488546
10,0,0.021359,2.200136,0.399504,0.003638,2.603278,12.881063,15.603249,31.109359
11,0,0.018344,1.847201,0.311011,0.003052,2.161264,13.635826,15.701135,31.516965
12,0,0.020946,1.730484,0.332466,0.003028,2.065978,12.565038,15.778926,30.431476
13,0,0.023315,2.166982,0.300522,0.002812,2.470316,12.574773,15.704565,30.773337
14,0,0.019638,1.945753,0.379569,0.003146,2.328468,12.661722,15.672659,30.683009
15,0,0.027602,2.362051,0.314596,0.003191,2.679838,12.492743,15.802440,31.003319
16,0,0.022194,1.722313,0.340621,0.003157,2.066091,13.650859,15.659959,31.399517
17,0,0.019341,1.698866,0.312506,0.003053,2.014425,12.471941,15.784661,30.290749
18,0,0.020982,2.045214,0.366599,0.003319,2.415132,13.077691,15.716121,31.230314
19,0,0.020410,1.826453,0.322144,0.002859,2.151456,12.636555,15.800648,30.609454
20,0,0.023645,2.521175,0.397958,0.003843,2.922976,12.180590,16.001975,31.129571
21,0,0.021115,2.426389,0.443137,0.003788,2.873314,12.029021,15.699946,30.623804
22,0,0.021980,2.580645,0.531434,0.004600,3.116679,12.368041,15.655375,31.162611
23,0,0.021594,2.728867,0.437945,0.005916,3.172728,11.898572,15.783702,30.877103
24,0,0.021179,2.676523,0.436323,0.007816,3.120662,12.159841,15.729935,31.032222
25,0,0.022679,2.150807,0.381107,0.005092,2.537006,12.934534,14.696085,30.190695
26,0,0.021236,2.418952,0.417352,0.004373,2.840677,13.029813,15.733182,31.625291
27,0,0.024390,2.246412,0.379515,0.004039,2.629966,12.663800,15.702899,31.021496
28,0,0.021783,2.134859,0.410659,0.006297,2.551815,12.683791,14.918343,30.176098
29,0,0.063744,2.668618,0.397480,0.007555,3.073653,2.612132,10.711653,16.461661
30,0,0.018644,2.808860,0.437585,0.007014,3.253459,11.759180,14.602464,29.634133
31,0,0.023644,3.289911,0.456202,0.003929,3.750042,12.275690,15.761895,31.811702
32,0,0.025711,2.275122,0.429745,0.003690,2.708557,11.733944,15.634772,30.103358
33,0,0.020991,2.349533,0.524396,0.005320,2.879249,12.145918,16.705314,31.751833
34,0,0.024610,2.068979,0.468004,0.008449,2.545432,11.646022,16.192544,30.409047
35,0,0.026166,2.500733,0.589083,0.006220,3.096036,12.282047,15.723961,31.128618
36,0,0.023064,2.796580,0.462197,0.004722,3.263499,12.011584,15.701361,30.999893
37,0,0.019436,2.284422,0.379413,0.003749,2.667584,11.807325,15.700674,30.195411
38,0,0.021230,1.655687,0.368241,0.003501,2.027429,13.892553,15.623031,31.564681
39,0,0.026695,1.774725,0.287546,0.003069,2.065340,12.686684,15.667261,30.446369
40,0,0.019005,1.641701,0.351842,0.003664,1.997207,12.715966,15.855073,30.587626
41,0,0.026045,1.736987,0.332420,0.003115,2.072522,13.785378,15.374254,31.258720
42,0,0.235495,1.478253,0.320087,0.003147,1.801487,13.292322,15.861574,31.191247
43,0,0.021282,1.969840,0.284218,0.002941,2.256999,12.421815,15.625083,30.325671
44,0,0.020633,1.617799,0.333070,0.002683,1.953552,13.408296,15.788507,31.171367
45,0,0.019049,1.536883,0.363031,0.002981,1.902895,13.560994,15.692047,31.175437
46,0,0.018442,1.600582,0.319384,0.002984,1.922950,12.430861,15.666837,30.039447
47,0,0.021107,1.812376,0.328693,0.002790,2.143859,13.595101,15.618069,31.378507
48,0,0.019232,1.655811,0.329154,0.002793,1.987758,13.175106,15.641372,30.823808
49,0,0.019029,1.526623,0.307480,0.002577,1.836680,13.202026,15.631493,30.689595
50,0,0.018425,1.523612,0.365089,0.003600,1.892301,13.387887,15.590413,30.889472
51,0,0.020753,1.655090,0.286453,0.002479,1.944022,13.452417,15.593141,31.010765
52,0,0.022767,1.585999,0.320898,0.002697,1.909594,13.138368,15.561053,30.632164
53,0,0.019977,1.635601,0.304867,0.002679,1.943147,14.159830,15.565573,31.688892
54,0,0.018439,1.428997,0.326827,0.002554,1.758378,13.092769,15.703769,30.573753
55,0,0.024738,1.737923,0.281959,0.002716,2.022598,13.226556,15.639489,30.913770
56,0,0.016759,1.799389,0.344603,0.002818,2.146810,13.348349,15.637369,31.149638
57,0,0.020298,1.601573,0.286685,0.002595,1.890853,12.667392,15.623184,30.202056
58,0,0.027912,1.688082,0.616975,0.003270,2.308327,13.015494,15.568146,30.920267
59,0,0.021234,2.209503,0.405512,0.004896,2.619911,12.503221,15.620014,30.764933
60,0,0.027882,1.722432,0.465289,0.003227,2.190948,13.330329,15.533853,31.083579
61,0,0.019184,1.626084,0.314329,0.002852,1.943265,2.465530,11.865579,16.293948
62,0,0.016977,1.631155,0.451365,0.003450,2.085970,12.306188,15.633241,30.042790
63,0,0.021616,1.642890,0.350652,0.003134,1.996676,13.288694,15.660344,30.967805
64,0,0.020666,1.580078,0.312165,0.002822,1.895065,13.151893,15.528027,30.596062
65,0,0.016444,2.078726,0.287917,0.002948,2.369591,13.489686,15.657190,31.533260
66,0,0.017978,1.534337,0.383688,0.004669,1.922694,13.185041,15.670485,30.796607
67,0,0.018967,1.803565,0.346386,0.005690,2.155641,12.502286,15.610628,30.287937
68,0,0.019674,1.711983,0.348946,0.003620,2.064549,13.675701,15.652642,31.412916
69,0,0.021575,1.580581,0.282429,0.002609,1.865619,13.287665,15.532739,30.707980
70,0,0.018807,1.518924,0.346728,0.003224,1.868876,13.532020,15.825704,31.245785
71,0,0.019988,1.588807,0.296684,0.003108,1.888599,13.194120,15.633441,30.736580
72,0,0.019296,1.641903,0.361311,0.004318,2.007532,13.170788,15.658297,30.856275
73,0,0.021982,1.605711,0.298917,0.002672,1.907300,13.560110,15.667728,31.157577
74,0,0.020868,2.021281,0.615036,0.004542,2.640859,12.455187,15.679976,30.797246
75,0,0.018651,1.604982,0.310356,0.002712,1.918050,13.346226,15.556290,30.839707
76,0,0.021059,1.519842,0.353792,0.002947,1.876581,13.378466,15.664580,30.941103
77,0,0.019770,1.603213,0.293891,0.003163,1.900267,13.253610,15.622334,30.796350
78,0,0.021235,1.730675,0.369958,0.003340,2.103973,13.416410,14.739607,30.281628
