metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,54.650520,0.021248,0.006863,0.937506
ants_advance,2572,4099.533166,1.593909,1.135931,4.595481
evaporation,2572,922.001447,0.358476,0.254554,0.956145
update,2572,8.828361,0.003432,0.002281,0.054336
advance_total,2572,5030.362974,1.955818,1.415896,5.272374
render,2572,34364.855629,13.361141,2.465530,34.371001
blit,2572,39733.913113,15.448644,0.456681,16.906618
iteration_total,2572,79184.842362,30.787264,15.231945,48.036971

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
