iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.996000,1.000000,10.274000,0.000000,2.993000,1.021000,15.288000,0.000000,0.000000,10.099000,23.464000,50.847000
2,0,5.981000,0.979000,4.630000,0.000000,3.009000,0.980000,9.598000,0.000000,0.000000,2.124000,14.573000,32.276000
3,0,0.000000,0.593000,4.059000,0.000000,5.622000,0.995000,11.269000,0.000000,0.000000,0.985000,9.326000,21.580000
4,0,0.000000,1.065000,3.548000,1.094000,2.966000,1.001000,9.674000,0.000000,0.000000,1.715000,12.359000,23.748000
5,0,0.000000,0.967000,2.800000,0.000000,2.049000,0.944000,6.760000,0.996000,0.000000,1.004000,12.270000,21.030000
6,0,0.000000,0.000000,3.995000,0.997000,3.297000,2.530000,10.819000,0.000000,0.000000,1.626000,9.142000,21.587000
7,0,0.000000,0.996000,4.501000,0.000000,2.733000,1.010000,9.240000,0.000000,0.000000,0.993000,11.071000,21.304000
8,0,0.000000,1.007000,3.001000,0.000000,2.009000,0.992000,7.009000,0.000000,0.000000,0.999000,9.807000,17.815000
9,0,0.000000,1.001000,3.003000,0.000000,2.021000,0.976000,7.001000,0.000000,0.000000,1.001000,11.328000,19.330000
10,0,0.000000,0.993000,3.006000,0.000000,2.999000,1.011000,8.009000,0.000000,0.000000,2.230000,6.012000,16.251000
11,0,0.000000,1.000000,2.004000,0.998000,2.018000,0.982000,7.002000,0.000000,0.000000,1.528000,7.250000,15.780000
12,0,0.000000,1.010000,1.992000,0.000000,3.011000,0.991000,7.004000,0.000000,0.000000,1.510000,9.574000,18.088000
13,0,0.000000,0.000000,2.985000,0.000000,3.714000,1.013000,7.712000,0.000000,0.000000,0.986000,13.693000,22.391000
14,0,1.514000,1.019000,1.998000,0.000000,2.648000,1.016000,6.681000,0.000000,0.000000,0.971000,10.226000,19.392000
15,0,0.000000,1.024000,2.991000,0.513000,2.023000,1.056000,7.607000,0.000000,0.000000,0.987000,11.333000,19.927000
16,0,0.000000,0.996000,3.047000,0.000000,2.575000,1.025000,7.643000,0.000000,0.000000,1.094000,8.159000,16.896000
