iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.000000,20.791000,9.553000,0.000000,2.446000,0.517000,33.307000,0.000000,0.611000,0.000000,0.000000,33.918000
2,0,0.000000,22.848000,3.304000,0.000000,1.900000,0.000000,28.052000,0.000000,1.117000,0.000000,0.000000,29.169000
3,0,0.000000,22.814000,2.621000,0.000000,0.000000,0.000000,25.435000,0.000000,0.000000,0.000000,0.000000,25.435000
4,0,0.000000,26.254000,1.536000,0.000000,0.543000,0.000000,28.333000,0.000000,2.035000,0.000000,0.000000,30.368000
5,0,0.000000,19.566000,0.000000,0.000000,5.327000,0.885000,25.778000,0.000000,0.509000,0.000000,0.000000,26.287000
6,0,0.000000,21.646000,2.029000,0.000000,1.525000,0.000000,25.200000,0.000000,0.000000,0.000000,0.000000,25.200000
7,0,0.000000,22.782000,2.101000,0.515000,1.025000,0.000000,26.423000,0.000000,1.664000,0.000000,0.000000,28.087000
8,0,0.000000,20.438000,1.617000,0.000000,0.000000,0.000000,22.055000,0.000000,5.698000,0.000000,0.000000,27.753000
9,0,0.000000,20.703000,3.257000,0.000000,0.000000,0.000000,23.960000,0.000000,0.000000,0.000000,0.000000,23.960000
10,0,0.000000,20.665000,8.393000,0.000000,2.023000,1.012000,32.093000,0.000000,1.173000,0.000000,0.000000,33.266000
11,0,0.000000,23.521000,2.614000,0.000000,1.672000,1.081000,28.888000,0.000000,0.000000,0.000000,0.000000,28.888000
12,0,0.000000,21.140000,3.253000,0.000000,1.630000,0.802000,26.825000,0.000000,0.000000,0.000000,0.000000,26.825000
13,0,0.000000,24.140000,2.514000,0.000000,1.012000,1.007000,28.673000,0.000000,1.003000,0.000000,0.000000,29.676000
14,0,0.000000,20.356000,6.220000,0.512000,1.069000,0.000000,28.157000,0.000000,1.552000,0.000000,0.000000,29.709000
