metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,635,0.000000,0.000000,0.000000,0.000000
ants_advance,635,7330.112000,11.543483,1.640000,32.809000
mpi_pheromone_sync,635,1895.900000,2.985669,0.000000,12.497000
evaporation,635,210.228000,0.331068,0.000000,5.117000
mpi_evaporation_sync,635,1572.791000,2.476836,0.000000,12.486000
update,635,515.288000,0.811477,0.000000,8.473000
advance_total,635,11524.319000,18.148534,5.555000,51.377000
mpi_food_sync,635,24.331000,0.038317,0.000000,2.053000
mpi_gather,635,182.309000,0.287101,0.000000,5.658000
render,635,0.000000,0.000000,0.000000,0.000000
blit,635,0.000000,0.000000,0.000000,0.000000
iteration_total,635,11739.455000,18.487331,5.555000,52.577000

meta_key,meta_value
total_iterations,635
measured_iterations,635
final_food_quantity,1
first_food_iteration,625
