metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,3012,854.440000,0.283679,0.000000,335.961000
ants_advance,3012,2185.540000,0.725611,0.000000,2.822000
mpi_pheromone_sync,3012,18423.638000,6.116746,1.544000,39.754000
evaporation,3012,433.998000,0.144090,0.000000,1.630000
mpi_evaporation_sync,3012,13182.821000,4.376767,0.993000,16.748000
update,3012,2795.660000,0.928174,0.000000,3.012000
advance_total,3012,37021.657000,12.291387,5.557000,54.266000
mpi_food_sync,3012,1922.119000,0.638154,0.000000,4.016000
mpi_gather,3012,256.070000,0.085017,0.000000,2.003000
render,3012,12809.204000,4.252724,0.000000,15.627000
blit,3012,114349.696000,37.964707,4.556000,177.875000
iteration_total,3012,167269.607000,55.534398,13.591000,354.670000

meta_key,meta_value
total_iterations,3013
measured_iterations,3012
final_food_quantity,443
first_food_iteration,1648
