iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.000000,1.654764,0.232578,0.003821,1.891163,0.000000,0.000000,1.891395
2,0,0.000000,1.289290,0.264436,0.004100,1.557826,0.000000,0.000000,1.558144
3,0,0.000000,1.133005,0.195895,0.003796,1.332696,0.000000,0.000000,1.332761
4,0,0.000000,0.940159,0.189671,0.003731,1.133561,0.000000,0.000000,1.133633
5,0,0.000000,2.581449,0.263114,0.004329,2.848892,0.000000,0.000000,2.848975
6,0,0.000000,1.218725,0.361802,0.004362,1.584889,0.000000,0.000000,1.585090
7,0,0.000000,3.380027,0.397668,0.010530,3.788225,0.000000,0.000000,3.788605
8,0,0.000000,2.949512,0.282637,0.004398,3.236547,0.000000,0.000000,3.236626
9,0,0.000000,1.507659,0.262699,0.004276,1.774634,0.000000,0.000000,1.774818
10,0,0.000000,1.226036,0.215685,0.004049,1.445770,0.000000,0.000000,1.446038
11,0,0.000000,1.150950,0.259142,0.004114,1.414206,0.000000,0.000000,1.414354
12,0,0.000000,1.284026,0.235034,0.003776,1.522836,0.000000,0.000000,1.523097
13,0,0.000000,1.079589,0.218769,0.004298,1.302656,0.000000,0.000000,1.302743
14,0,0.000000,1.737594,0.408452,0.004773,2.150819,0.000000,0.000000,2.151015
15,0,0.000000,1.081530,0.217197,0.003749,1.302476,0.000000,0.000000,1.302621
16,0,0.000000,0.954303,0.193274,0.003375,1.150952,0.000000,0.000000,1.151111
17,0,0.000000,0.915861,0.222524,0.003553,1.141938,0.000000,0.000000,1.142006
18,0,0.000000,0.906425,0.203613,0.003579,1.113617,0.000000,0.000000,1.113887
19,0,0.000000,1.044060,0.257642,0.004262,1.305964,0.000000,0.000000,1.306076
20,0,0.000000,1.241171,0.273913,0.004212,1.519296,0.000000,0.000000,1.519592
21,0,0.000000,1.010074,0.207527,0.003427,1.221028,0.000000,0.000000,1.221155
22,0,0.000000,0.891780,0.178756,0.003523,1.074059,0.000000,0.000000,1.074105
23,0,0.000000,0.898187,0.241642,0.004155,1.143984,0.000000,0.000000,1.144160
24,0,0.000000,1.085528,0.277352,0.003683,1.366563,0.000000,0.000000,1.366723
25,0,0.000000,1.031844,0.276533,0.003530,1.311907,0.000000,0.000000,1.312200
26,0,0.000000,1.191349,0.361222,0.005954,1.558525,0.000000,0.000000,1.558701
27,0,0.000000,1.991413,0.440058,0.009587,2.441058,0.000000,0.000000,2.441259
28,0,0.000000,3.783917,0.674673,0.015029,4.473619,0.000000,0.000000,4.473947
29,0,0.000000,3.130117,0.264416,0.004191,3.398724,0.000000,0.000000,3.399049
30,0,0.000000,1.395895,0.236715,0.003648,1.636258,0.000000,0.000000,1.636432
31,0,0.000000,1.123354,0.199472,0.003951,1.326777,0.000000,0.000000,1.326856
32,0,0.000000,0.988542,0.201262,0.003887,1.193691,0.000000,0.000000,1.193788
33,0,0.000000,1.089209,0.213983,0.003932,1.307124,0.000000,0.000000,1.307285
34,0,0.000000,0.934490,0.210834,0.003880,1.149204,0.000000,0.000000,1.149291
35,0,0.000000,0.861993,0.180136,0.003582,1.045711,0.000000,0.000000,1.045879
36,0,0.000000,0.904521,0.214237,0.003739,1.122497,0.000000,0.000000,1.122557
37,0,0.000000,0.896162,0.188332,0.003602,1.088096,0.000000,0.000000,1.088162
38,0,0.000000,0.818628,0.204699,0.003711,1.027038,0.000000,0.000000,1.027091
39,0,0.000000,0.956834,0.294039,0.004443,1.255316,0.000000,0.000000,1.255686
40,0,0.000000,1.372183,0.284249,0.004326,1.660758,0.000000,0.000000,1.661005
41,0,0.000000,0.980201,0.202342,0.003942,1.186485,0.000000,0.000000,1.186537
42,0,0.000000,1.005116,0.219783,0.003566,1.228465,0.000000,0.000000,1.228633
43,0,0.000000,1.056487,0.235165,0.004097,1.295749,0.000000,0.000000,1.296046
44,0,0.000000,1.023589,0.213660,0.003629,1.240878,0.000000,0.000000,1.240949
45,0,0.000000,1.066844,0.330858,0.004442,1.402144,0.000000,0.000000,1.402434
46,0,0.000000,1.474478,0.307347,0.004004,1.785829,0.000000,0.000000,1.786038
47,0,0.000000,1.155496,0.263165,0.005293,1.423954,0.000000,0.000000,1.424232
48,0,0.000000,1.389553,0.252918,0.003780,1.646251,0.000000,0.000000,1.646454
49,0,0.000000,1.065038,0.249388,0.003883,1.318309,0.000000,0.000000,1.318377
50,0,0.000000,1.121843,0.302342,0.003602,1.427787,0.000000,0.000000,1.427930
51,0,0.000000,2.096931,0.331354,0.010753,2.439038,0.000000,0.000000,2.439136
52,0,0.000000,1.305496,0.247353,0.004195,1.557044,0.000000,0.000000,1.557093
53,0,0.000000,1.190581,0.225642,0.004096,1.420319,0.000000,0.000000,1.420475
54,0,0.000000,1.064309,0.272293,0.003872,1.340474,0.000000,0.000000,1.340726
55,0,0.000000,1.049006,0.223422,0.004079,1.276507,0.000000,0.000000,1.276697
56,0,0.000000,1.075927,0.216077,0.003801,1.295805,0.000000,0.000000,1.296073
57,0,0.000000,0.941042,0.187897,0.003751,1.132690,0.000000,0.000000,1.132864
58,0,0.000000,0.916177,0.237903,0.003688,1.157768,0.000000,0.000000,1.157844
59,0,0.000000,0.971193,0.216883,0.004331,1.192407,0.000000,0.000000,1.192521
60,0,0.000000,0.947692,0.275223,0.004055,1.226970,0.000000,0.000000,1.227049
61,0,0.000000,0.899577,0.211385,0.004191,1.115153,0.000000,0.000000,1.115229
62,0,0.000000,1.237993,0.267817,0.004132,1.509942,0.000000,0.000000,1.510326
63,0,0.000000,1.224784,0.225433,0.004191,1.454408,0.000000,0.000000,1.454599
64,0,0.000000,1.103133,0.254014,0.003893,1.361040,0.000000,0.000000,1.361320
65,0,0.000000,1.268890,0.330205,0.004547,1.603642,0.000000,0.000000,1.603942
66,0,0.000000,1.226228,0.442459,0.004809,1.673496,0.000000,0.000000,1.673795
67,0,0.000000,1.422040,0.318184,0.004064,1.744288,0.000000,0.000000,1.744427
68,0,0.000000,1.832307,0.366919,0.005663,2.204889,0.000000,0.000000,2.205216
