metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,0.000000,0.000000,0.000000,0.000000
ants_advance,2572,2884.254852,1.121405,0.664341,4.472146
evaporation,2572,660.818538,0.256928,0.153135,1.103366
update,2572,12.464476,0.004846,0.002950,0.206411
advance_total,2572,3557.537866,1.383180,0.838990,4.801794
render,2572,0.000000,0.000000,0.000000,0.000000
blit,2572,0.000000,0.000000,0.000000,0.000000
iteration_total,2572,3557.970496,1.383348,0.839048,4.802356

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
