iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.941765,2.352111,0.277586,0.004765,2.634462,26.659832,15.663079,45.900622
2,0,0.020333,2.300778,0.294434,0.006178,2.601390,12.432748,15.692684,30.747577
3,0,0.017817,2.598118,0.291046,0.004982,2.894146,12.639835,15.555339,31.107522
4,0,0.015007,2.105285,0.310839,0.006040,2.422164,13.216342,15.578078,31.231852
5,0,0.015443,2.378953,0.352303,0.005974,2.737230,12.485742,15.631318,30.870172
6,0,0.015271,1.987138,0.193136,0.003523,2.183797,12.309545,15.684154,30.193124
7,0,0.016681,1.811480,0.270152,0.004549,2.086181,13.600525,15.629293,31.332960
8,0,0.016296,2.326762,0.242768,0.003315,2.572845,12.402597,15.602038,30.594049
9,0,0.014664,1.548844,0.267863,0.004971,1.821678,14.165481,15.599943,31.602028
10,0,0.019246,2.146874,0.284799,0.004690,2.436363,12.267725,15.650888,30.374624
11,0,0.021819,2.622175,0.367368,0.006731,2.996274,11.835427,15.621928,30.475997
12,0,0.015430,1.500802,0.213432,0.003990,1.718224,13.209607,15.589281,30.532947
13,0,0.013744,1.524126,0.209975,0.003436,1.737537,13.321811,15.619127,30.692647
14,0,0.015041,1.499761,0.207383,0.003326,1.710470,13.479272,15.603891,30.809020
15,0,0.014950,1.518347,0.240713,0.004531,1.763591,14.106254,15.638480,31.523634
16,0,0.015752,1.444583,0.251837,0.004203,1.700623,13.237200,15.652593,30.606530
17,0,0.017667,1.495806,0.321913,0.003607,1.821326,13.500375,15.806065,31.145788
18,0,0.015290,1.683289,0.218917,0.003638,1.905844,13.142443,15.626487,30.690426
19,0,0.013730,1.495480,0.217876,0.005753,1.719109,13.342079,15.621416,30.696693
20,0,0.014548,1.606297,0.258795,0.003796,1.868888,13.614174,15.609665,31.107659
21,0,0.015934,1.702084,0.204022,0.003453,1.909559,13.222365,15.654715,30.802936
22,0,0.015313,1.785816,0.259771,0.004637,2.050224,13.321946,15.706104,31.093960
23,0,0.018201,1.866084,0.229555,0.004143,2.099782,12.516930,16.080117,30.715399
24,0,0.020611,2.076973,0.197148,0.003728,2.277849,12.531595,15.617162,30.447684
25,0,0.015836,2.175992,0.223256,0.003941,2.403189,13.471758,15.579411,31.470549
26,0,0.014280,1.722807,0.223650,0.004235,1.950692,13.176104,15.761013,30.902450
27,0,0.014974,1.614793,0.199697,0.003838,1.818328,13.656638,15.596126,31.086671
28,0,0.015338,1.693878,0.216802,0.003659,1.914339,12.724563,0.496938,15.151532
29,0,0.008832,2.302285,0.274288,0.004573,2.581146,13.689621,15.589672,31.869632
30,0,0.015069,2.286947,0.265615,0.003826,2.556388,12.414794,15.518780,30.505326
31,0,0.015888,2.105499,0.231524,0.004046,2.341069,13.323347,15.806176,31.486897
32,0,0.017042,2.100882,0.288930,0.004814,2.394626,12.193660,15.774300,30.379905
33,0,0.016974,2.086229,0.306900,0.004619,2.397748,13.365273,15.696056,31.476430
34,0,0.014975,2.470100,0.297838,0.003837,2.771775,12.531603,14.677200,29.995989
35,0,0.021162,2.384166,0.274249,0.004110,2.662525,12.775405,15.595414,31.054882
36,0,0.035312,2.784220,0.300173,0.004215,3.088608,12.480965,15.596154,31.201326
37,0,0.023832,3.506415,0.332664,0.004309,3.843388,11.121844,15.570321,30.559709
38,0,0.013948,1.764197,0.306445,0.005346,2.075988,13.688338,15.703873,31.482797
39,0,0.028789,2.330041,0.219194,0.003682,2.552917,12.273417,15.552546,30.407980
40,0,0.022316,1.792159,0.223024,0.003739,2.018922,13.663084,15.742271,31.446883
41,0,0.017224,1.620602,0.286266,0.007568,1.914436,13.141479,15.746755,30.820257
42,0,0.022905,1.977774,0.299295,0.007917,2.284986,13.154253,15.732391,31.194918
43,0,0.014915,1.570088,0.231302,0.004465,1.805855,13.094279,14.738179,29.653610
44,0,0.017549,1.601288,0.200961,0.003848,1.806097,13.243351,15.637517,30.704800
45,0,0.015479,1.637514,0.202249,0.003908,1.843671,13.168211,15.627134,30.654908
46,0,0.015470,1.763544,0.240681,0.003849,2.008074,13.432586,15.574463,31.031065
47,0,0.014562,1.552722,0.242934,0.004202,1.799858,13.386619,15.563575,30.764974
48,0,0.014524,1.509330,0.235342,0.003841,1.748513,13.911951,15.725683,31.401052
49,0,0.013941,1.720244,0.199146,0.003997,1.923387,13.315792,15.700519,30.954035
50,0,0.016811,1.623759,0.271620,0.004000,1.899379,13.282655,15.613500,30.812706
51,0,0.013537,1.597408,0.210474,0.004197,1.812079,13.473509,15.571632,30.871136
52,0,0.014135,1.632803,0.209870,0.003902,1.846575,13.326466,15.655027,30.842616
53,0,0.014639,1.500667,0.214742,0.004028,1.719437,14.451070,14.789799,30.975320
54,0,0.014390,1.522604,0.233015,0.004494,1.760113,14.190012,15.558315,31.523226
55,0,0.018361,1.848271,0.237642,0.003831,2.089744,13.423991,15.673333,31.205884
56,0,0.014480,1.620586,0.201674,0.004178,1.826438,13.336158,15.691842,30.869300
57,0,0.015068,1.663888,0.200325,0.003994,1.868207,13.255266,15.689246,30.828183
