metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,46.460491,0.018064,0.005488,2.077687
ants_advance,2572,4066.479532,1.581057,1.054642,17.091060
evaporation,2572,595.731106,0.231622,0.173588,1.559613
update,2572,12.027005,0.004676,0.003023,0.075297
advance_total,2572,4674.237643,1.817355,1.271583,17.344589
render,2572,34719.709447,13.499109,2.212234,32.527754
blit,2572,39747.467083,15.453914,0.363629,17.720694
iteration_total,2572,79188.906239,30.788844,15.151532,46.137389

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
