iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.351727,25.793322,0.315743,0.010391,26.119456,42.397636,15.910660,85.779965
2,0,0.024622,29.386215,0.272773,0.010871,29.669859,29.975284,2.000008,61.670154
3,0,0.011643,22.773870,0.166195,0.007388,22.947453,24.665014,14.009556,61.634055
4,0,0.022170,24.906562,0.182511,0.007212,25.096285,22.699739,14.094901,61.913624
5,0,0.021291,32.809319,0.228515,0.006668,33.044502,26.644698,0.985927,60.696987
6,0,0.007810,21.729275,0.191016,0.007139,21.927430,26.495748,13.303782,61.735372
7,0,0.021576,26.444123,0.270848,0.009064,26.724035,29.458618,4.638042,60.842742
8,0,0.019253,26.459614,0.266982,0.008026,26.734622,27.381874,7.635668,61.771722
9,0,0.021834,30.705453,0.276174,0.010242,30.991869,31.993617,14.710348,77.717937
10,0,0.020088,23.021985,0.099748,0.007077,23.128810,23.527117,14.136949,60.813527
11,0,0.025454,21.240184,0.056810,0.007393,21.304387,25.076069,15.631609,62.037919
12,0,0.019532,23.980432,0.147802,0.006757,24.134991,22.557031,13.992225,60.704204
13,0,0.025977,28.497231,0.219726,0.006985,28.723942,35.133753,12.965708,76.850081
14,0,0.024697,22.796108,0.257504,0.008126,23.061738,26.176572,12.768289,62.031784
15,0,0.028546,26.190367,0.099980,0.007078,26.297425,30.194474,5.041607,61.562680
16,0,0.019223,22.848496,0.160243,0.008208,23.016947,22.647296,15.710425,61.394518
17,0,0.024926,24.871064,0.090724,0.007728,24.969516,26.568834,10.119961,61.683801
18,0,0.026212,31.773285,0.272485,0.010613,32.056383,31.240451,13.057578,76.381419
19,0,0.024902,38.355665,0.214007,0.009145,38.578817,30.907780,7.767076,77.279064
20,0,0.024404,35.429154,0.213971,0.007416,35.650541,31.076775,9.901771,76.654058
21,0,0.031446,25.749964,0.256860,0.006826,26.013650,25.422446,10.649715,62.117619
22,0,0.028476,26.299293,0.188468,0.007224,26.494985,28.925957,5.354585,60.804615
23,0,0.022966,28.069781,0.203401,0.006852,28.280034,25.307744,7.855992,61.467267
24,0,0.021953,29.016343,0.275089,0.007622,29.299054,22.819803,10.108037,62.249240
25,0,0.021221,26.091036,0.310119,0.011006,26.412161,27.566516,6.821701,60.822003
26,0,0.023512,23.215892,0.076916,0.007143,23.299951,22.004980,0.549476,45.878424
27,0,0.007997,20.680357,0.179761,0.006198,20.866316,26.956657,13.117317,60.948557
28,0,0.021541,21.673944,0.165096,0.008228,21.847268,25.484461,14.671640,62.025354
29,0,0.021144,19.165111,0.115266,0.007593,19.287970,22.601593,4.660650,46.571708
30,0,0.019761,22.944593,0.191556,0.006899,23.143048,21.557346,0.796860,45.517419
31,0,0.008525,30.945388,0.251114,0.066552,31.263054,23.087606,8.218041,62.577597
32,0,0.021476,26.623967,0.238866,0.006507,26.869340,27.418736,7.055262,61.365539
33,0,0.023074,21.726777,0.172551,0.007461,21.906789,28.465969,11.848844,62.245111
34,0,0.022062,21.873078,0.186873,0.007260,22.067211,23.665624,15.806428,61.561910
