metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,0.000000,0.000000,0.000000,0.000000
ants_advance,2572,1310.339812,0.509463,0.417478,1.799792
evaporation,2572,260.464119,0.101269,0.070434,2.068265
update,2572,14.322339,0.005569,0.003918,0.027322
advance_total,2572,1585.126270,0.616301,0.500921,3.085352
render,2572,0.000000,0.000000,0.000000,0.000000
blit,2572,0.000000,0.000000,0.000000,0.000000
iteration_total,2572,1585.531032,0.616458,0.501162,3.085557

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
